,0
0,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/05/oprah-and-beyonce-feature-on-forbes.html
1,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/05/oprah-and-beyonce-feature-on-forbes.html
2,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/07/election-of-mmdces-will-deepen.html
3,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/07/election-of-mmdces-will-deepen.html
4,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/06/tontoh-dikeh-drops-breathtaking-photos.html
5,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/06/tontoh-dikeh-drops-breathtaking-photos.html
6,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/06/jose-mourinho-rejects-tax-fraud-charges.html
7,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/2017/06/jose-mourinho-rejects-tax-fraud-charges.html
8,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/p/privacy-policy.html
9,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/p/contact-us.html
