,links
0,http://web.archive.org/web/20180409195513/https://ghanaxtra.com/2017/11/video-the-gabola-church-the-church-that-baptises-members-with-alcohol-of-their-choice.html
1,http://web.archive.org/web/20200930233654/https://ghanaxtra.com/2020/09/talented-keyboard-idol-chris-tamakloe-dies-in-gory-accident.html
2,http://web.archive.org/web/20190210115434/http://ghanaxtra.com/2017/12/arsenal-legend-thierry-henry-arrives-nigeria.html
3,http://web.archive.org/web/20190328010556/http://ghanaxtra.com/2019/03/ec-to-compile-new-voters-register-for-election-2020.html
4,http://web.archive.org/web/20180819194425/https://ghanaxtra.com/2018/04/st-james-old-boy-wins-tokyos-policy-institute-award.html
5,http://web.archive.org/web/20180413043210/https://ghanaxtra.com/2018/04/video-boozed-kwaku-boahen-sacked-peace-fm-studio.html
6,http://web.archive.org/web/20211026191535/https://ghanaxtra.com/2021/09/exclusive-how-apor-kingpins-gifted-free-maths-questions-on-social-media.html
7,http://web.archive.org/web/20200930233654/https://ghanaxtra.com/2020/09/richard-dela-sky-bags-chevening-sponsorship-to-study-llm.html
8,http://web.archive.org/web/20181123200930/http://ghanaxtra.com/2018/10/wwe-news-launch-date-announced-for-long-awaited-nxt-uk-series.html
9,http://web.archive.org/web/20220525034713/https://ghanaxtra.com/2022/03/peter-suaka-writes-the-judicial-coup-detat-on-legislature.html
10,http://web.archive.org/web/20190227194332/http://ghanaxtra.com/2018/12/at-least-20-on-board-overturned-minibus-in-scottish-borders.html
11,http://web.archive.org/web/20180331145612/https://ghanaxtra.com/2018/03/video-afia-schwarzenegger-kumchacha-near-fist-fight.html
12,http://web.archive.org/web/20200503085750/https://ghanaxtra.com/2020/04/ghanas-covid-19-cases-jump-to-2074-with-212-recoveries.html
13,http://web.archive.org/web/20201024153408/https://ghanaxtra.com/2020/10/truck-driver-arrested-over-death-of-yapei-kusawgu-npp-pc.html
14,http://web.archive.org/web/20170910163804/http://www.ghanaxtra.com/p/privacy-policy.html
15,http://web.archive.org/web/20190123191109/http://ghanaxtra.com/2018/12/man-fails-give-wife-organism-will-go-hell-counsellor-lutterodt.html
16,http://web.archive.org/web/20200422221142/https://ghanaxtra.com/2020/04/ghana-expects-15000-covid-19-deaths.html
