post_link,original_link,final_link,post,title,author,date
http://web.archive.org/web/20180409195513/https://ghanaxtra.com/2017/11/video-the-gabola-church-the-church-that-baptises-members-with-alcohol-of-their-choice.html,https://ghanaxtra.com/2017/11/video-the-gabola-church-the-church-that-baptises-members-with-alcohol-of-their-choice.html,https://ghanaxtra.com/2017/11/video-the-gabola-church-the-church-that-baptises-members-with-alcohol-of-their-choice.html,"One of such new churches is the Gabola Church of International Ministries in Johannesburg, South Africa.The church, a fast growing Pentecostal church has introduced a new dimension to christianity as it allows the consumption of alcohol during service.Founded two months ago by 52-year-old  Bishop Tsietsi Makiti, the church which operate in a tavern now has a congregation of over 500.According to the Bishop, there are plans to open more branches in different parts of the globe to make it an international church.The Gabola Church members drink together during church services and members are baptised with their choice of alcohol.According to the founder, drinking alcohol is not sinful as Jesus changed water into wine in the bible, an action and opinion that has angered many members of Christendom.Freddy Mathebula, the owner of the tavern has however  lauded the move saying it has reduced the level of crimes in the area.“With God in our taverns we would see crime being reduced and love and respect promoted…People who drink beer are happy and peaceful. This means they are living in the shadow of God.”You can watch Bishop Tsietsi Makiti below to make your own judgement… Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online","Video: The Gabola Church, The Church That Baptises Members With Alcohol Of Their Choice",ABOAGYE FRANK,2017/11
http://web.archive.org/web/20200930233654/https://ghanaxtra.com/2020/09/talented-keyboard-idol-chris-tamakloe-dies-in-gory-accident.html,https://ghanaxtra.com/2020/09/talented-keyboard-idol-chris-tamakloe-dies-in-gory-accident.html,https://ghanaxtra.com/2020/09/talented-keyboard-idol-chris-tamakloe-dies-in-gory-accident.html,"One of the contestants in Citi TV’s Keyboard Idol talent competition, Chris Tamakloe, has passed away.Chris one of the star performers in the competition met his untimely demise on Saturday, September 19, 2020, when a vehicle in which he and his father were travelling on was involved in a road accident, at Asutsuare Junction.Chris was rushed to the Dodowa District Hospital and was later transferred to the 37 Military Hospital in Accra but he passed away whilst on admission.The passing of Chris was relayed to the public on the Citi Breakfast Show on Wednesday, September 23, 2020, by the General Manager of Citi FM/Citi TV, Bernard Avle“It is with immense pain and sadness that we announce the loss of the extraordinarily-talented Chris Tamakloe, one of the contestants on Citi TV’s keyboard Idol. Our deepest condolences to his family, friends and everyone affected by his passing.”May he find eternal peace.Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online","Talented Keyboard Idol, Chris Tamakloe Dies In Gory Accident","Nana Yaw, Reporter",2020/09
http://web.archive.org/web/20190328010556/http://ghanaxtra.com/2019/03/ec-to-compile-new-voters-register-for-election-2020.html,http://ghanaxtra.com/2019/03/ec-to-compile-new-voters-register-for-election-2020.html,https://ghanaxtra.com/2019/03/ec-to-compile-new-voters-register-for-election-2020.html,The Electoral Commission(EC) of Ghana has served notice that it will be compiling a new Voters’ register for the 2020 election.The decision was taken after an Inter-Party Advisory Committee Meeting(IPAC) meeting in Accra today.The meeting which centred on three thematic areas after extensive deliberations among other things agreed that a new register should be compiled.“The Commission will compile a new Voters register ahead of the 2020 Presidential and Parliamentary elections.”The Commission also revealed that it has started the inspection of political offices across the country and will by the end of May 2019 release its report.It is expected that the move by the Electoral Management body will put to rest years of uncertainties about the credibility of our Voters register.Read the full statement below…Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to info@ghanaxtra.com and we'll surely put them onlineLog in to leave a comment ,EC To Compile New Voters Register For Election 2020,GhanaXtra,2019/03
http://web.archive.org/web/20180819194425/https://ghanaxtra.com/2018/04/st-james-old-boy-wins-tokyos-policy-institute-award.html,https://ghanaxtra.com/2018/04/st-james-old-boy-wins-tokyos-policy-institute-award.html,https://ghanaxtra.com/2018/04/st-james-old-boy-wins-tokyos-policy-institute-award.html,"A former student of St. James Seminary in the Brong Ahafo region and a Senior Economics Officer at the Ministry of Finance, Mr Dabone Atta Snr has been adjudged the Alumnus of the Month (ALMO) by a Tokyo-based Graduate Institute of Policy Studies (GRIPS).Dabone Atta Snr an aluminus of GRIPS in 2010 won the April 2018 edition of the award after he was nominated by former students, professors and staff of GRIPS.The best alumni award is presented to past students based on Academic excellence, Professional accomplishments in their field of expertise, Continuing interest in and support of GRIPS activities and Doing something particularly interesting or exciting.Currently a debt analyst with the Ministry of Finance, he holds a Master’s in Public Policy (Economics) and a Bachelor of Science Degree in Economics and has a passion for poverty eradication.Atta Completed St James in 1999 where he read General Arts. He then proceeded to the Methodist University College Ghana where he graduated with a BSc in Economics.Atta joined the Ministry of Finance in 2004 as a service personnel, after graduating with a BSc in Economics from the Methodist University College Ghana.He was later employed in 2006 as an Assistant Economic Officer after having gone through a successful interview and has through dint of hardwork after thirteen years of hardwork been promoted to the position of a Senior Economics Officer and currently awaiting confirmation to a Principal Economics Officer.Aside his job at the Ministry of Finance, he is also an entrepreneur as he operates a rabbit and quail farm.He is also the co-owner of Dormaa-Ahenkro based Voice FM 94.3, one of the leading radio stations in the Brong Ahafo region.He is the Deputy Board Chairman of Foklex Media Awards, a private organization whose core mandate is to strengthen and promote media engagement in Ghana.Click here to read the full interview he granted GRIPS after being selected as the alumnus of month.Call our Editor on 0209391902 or click here and inform us via Whatsapp.You could equally email your stories or articles to admin@ghanaxtra.com and we'll surely put them online",St. James Old Boy Wins Tokyo’s Policy Institute Award,Frank A. Hartmann,2018/04
http://web.archive.org/web/20180413043210/https://ghanaxtra.com/2018/04/video-boozed-kwaku-boahen-sacked-peace-fm-studio.html,https://ghanaxtra.com/2018/04/video-boozed-kwaku-boahen-sacked-peace-fm-studio.html,https://ghanaxtra.com/2018/04/video-boozed-kwaku-boahen-sacked-peace-fm-studio.html,"What was billed to be a normal political programme in the studio of Accra-based Peace FM on evening of Monday April 9, 2018,  turned into an unpleasant spectacle.This was after one of the guests, Kwaku Boahen, the Deputy Director of Communications of the opposition NDC allegedly appeared on the show seriously intoxicated.In a video that has since gone viral, Kwaku Boahen could be been alleging that the host had taken bribe from the New Patriotic Party (NPP) Acting Director of Communications, Yaw Adomako Baafi.His misconduct continued even after the host of the show had warned him to behave but Kwaku Boahen who seemed to be in a world of his own ignored the warnings.He was eventually, dragged out of the studio by producers of the show in order to prevent further embarrassment.Meanwhile, both the NDC and Kwaku Boahen has not commented on the issue.You can watch the video below…﻿Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to info@ghanaxtra.com and we'll surely put them online",Video: “Boozed” Kwaku Boahen Sacked From Peace FM Studio,Frank A. Hartmann,2018/04
http://web.archive.org/web/20211026191535/https://ghanaxtra.com/2021/09/exclusive-how-apor-kingpins-gifted-free-maths-questions-on-social-media.html,https://ghanaxtra.com/2021/09/exclusive-how-apor-kingpins-gifted-free-maths-questions-on-social-media.html,https://ghanaxtra.com/2021/09/exclusive-how-apor-kingpins-gifted-free-maths-questions-on-social-media.html,"A rogue examination leakage platform flooded various social media platforms with free services to its numerous clients today.The platform, Jerusalema, in response to the arrest of one of its administrators, Gideon Darko, last week at his hideout in Kasoa made available Core Mathematics Paper 1 and 2 available to its clients at no fee at all.Ahead of the paper today Monday, September 20, 2021, it had emerged that the price for the papers which was hitherto sold for GHC 100 had shot up to GHC 150 because of the heightened security and alertness of the West African Examinations Council(WAEC).This was disclosed by the Executive Director of Education Think Tank, Africa Education Watch, Mr. Kofi Asare, who has been very instrumental in ensuring that examinations conducted by WAEC are credible and in line with international best practices in series of post sighted on Facebook.“We jubilated at news of the arrest of the kingpin behind Jerusalema, one of the apo selling platforms only to realize the platform published free math apo with answers today.
As3m ooo..”WAEC last week announced that it had rescheduled two papers after detecting a possible leakage of the questions on social media and on “rogue” websites prior to the exams that was due last Wednesday.The Head of Legal at WAEC, Reverend Victor Brew, disclosed that the papers were on various social media platforms.“The cheating social media groups were in full swing prior to the conduct of the mathematics and the English language papers on 9th and 13th September.”Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online",Exclusive: How “Apor” Kingpins Gifted Free Maths Questions On Social Media,"Frank A. Hartmann, Managing Editor",2021/09
http://web.archive.org/web/20200930233654/https://ghanaxtra.com/2020/09/richard-dela-sky-bags-chevening-sponsorship-to-study-llm.html,https://ghanaxtra.com/2020/09/richard-dela-sky-bags-chevening-sponsorship-to-study-llm.html,https://ghanaxtra.com/2020/09/richard-dela-sky-bags-chevening-sponsorship-to-study-llm.html,"Former broadcast journalist with Accra based Citi FM, Richard Dela Sky has been selected as one of the beneficiaries for the 2020/2021 Chevening scholarship.Dela Sky has been offered sponsorship from the United Kingdom’s prestigious Chevening Scholarship Secretariat, to study for the award of LLM Bar Vocational Studies at City University of London.The new feat by the former broadcaster comes as no surprise as he announced in January 2020 that he will be graduating with a First Class Honours in LLB from the University of Buckingham.The decision by the Board of Examiners follows Richard Dela Sky’s sterling performance in the two-year programme.“The cordial, warm & joyous handshake I got when I informed the British High Commissioner to #Ghana, @walkeriain, that I have been officially notified that I will be graduating from the UK’s @UniOfBuckingham (Law School) in the coming months with a First Class Degree in LAW!”Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online",Richard Dela Sky Bags Chevening Sponsorship To Study LLM,"Frank A. Hartmann, Managing Editor",2020/09
http://web.archive.org/web/20220525034713/https://ghanaxtra.com/2022/03/peter-suaka-writes-the-judicial-coup-detat-on-legislature.html,https://ghanaxtra.com/2022/03/peter-suaka-writes-the-judicial-coup-detat-on-legislature.html,https://ghanaxtra.com/2022/03/peter-suaka-writes-the-judicial-coup-detat-on-legislature.html,"A pyrrhic victory of style over substance is the observation of Professor Stephen Kwaku Asare on the ruling of the SC on the voting right of the first deputy speaker of Ghana’s parliament.After reading and listening around, I ask these questions!1. Is representation in parliament limited to just voting?? How about Chairmen of Parliamentary Committees who do not have original votes but casting votes only in events of equality of votes as provided in Order 211 of our parliamentary standing orders?? Is the SC declaring this provision too unconstitutional? How about Article 104(5) which provides that members of parliament who are parties to firms which is a party to a contract with the Government shall declare their interests and shall not vote on any question relating to them in parliament?? Is this provision too unconstitutional since the voting right of these categories of MPs is also prohibited by that?2. How does this ruling uphold the tenets of the cardinal principles of separation of powers?? Doesn’t this ruling amount to an unholy invasion of parliament by the judiciary?? Is the judiciary not directing and remote controlling how parliamentary proceedings should be conducted?? What happens to Article 110 of the Constitution 1992 which provides that Parliament may by standing orders regulate its own procedure?? I can’t wait for an official reaction by the speaker of parliament who is the head of the legislative arm of government. If the parliament will sit and allow a daylight usurpation of their powers as an equal authoritative arm of government by another arm of government, then fine, so be it?? I think, however, that, this unbridled invasion of an arm of government into the operations of another arm of government is fundamentally wrong, democratically unethical; it is unconstitutional and must be resisted forcefully by the latter. This is a judicial coup d’état on the legislature.3. Will deputy speakers of our parliament still enjoy the respect and privileges they hitherto enjoyed under this constitution prior to this ruling?? Will they not be treated as typical partisans like other ordinary members of parliament when they preside?? Will they not struggle to preside over government businesses in the absence of the speaker?? I am surprised this is a unanimous decision by the apex court of our land. What mischief and (or) purpose at all does this ruling seek to remedy?? Well, let the implementation start, and let’s see how our legislative arm of government will look like.4. What happens to the principle of non-justiciable political question doctrine which is firmly revered within Ghanaian jurisprudence as was held in the case of Tuffour v. AG and GBA v AG which prohibits the court from entertaining matters that explicitly textually demonstrate commitment to a coordinated political department i.e the legislature or the executive?? In Tuffour v AG, the Court reasoned that the courts do not and cannot inquire into how parliament went about its business. It further added that actions within parliament are a close book. I understand the SC is equally a master of their own rules and can overturn their previous decisions as and when necessary; this however cannot be done in obvious arbitrariness as this appears to be.5. Yes, the SC may be fully sheltered in their exercise of exclusive interpretation powers as provided for in Article 2(1) and 130(1) of the Constitution 1992, the exercise of the same however regarding admissibility of political issues must be in tandem with the wisdom as provided for in Article 296 of this same Constitution. This ruling in my opinion is an own goal for Ghana in our strife to stabilize the seeming/real political turbulence in the country.6. I hear the AG is advocating for a re-run of the election in Buem Constituency to include/involve the people of SALL.7. It is obvious this comedy won’t stop anytime soon. The SC of Ghana is sinking so fast.Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online",Peter Suaka Writes: The Judicial Coup D’état On Legislature,"Frank A. Hartmann, Managing Editor",2022/03
http://web.archive.org/web/20200503085750/https://ghanaxtra.com/2020/04/ghanas-covid-19-cases-jump-to-2074-with-212-recoveries.html,https://ghanaxtra.com/2020/04/ghanas-covid-19-cases-jump-to-2074-with-212-recoveries.html,https://ghanaxtra.com/2020/04/ghanas-covid-19-cases-jump-to-2074-with-212-recoveries.html,"An update on the official website of the Ghana Health Service on Thursday, April 30, 2020, confirms the upsurge in the number of cases.According to the latest update, the number of recoveries now stand at 212 with 17 deaths.Four regions, the Bono, Bono East, Ahafo and Savannah have still not recorded any cases.Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online","Ghana’s COVID-19 Cases Jump To 2,074 With 212 Recoveries","Frank A. Hartmann, Managing Editor",2020/04
http://web.archive.org/web/20201024153408/https://ghanaxtra.com/2020/10/truck-driver-arrested-over-death-of-yapei-kusawgu-npp-pc.html,https://ghanaxtra.com/2020/10/truck-driver-arrested-over-death-of-yapei-kusawgu-npp-pc.html,https://ghanaxtra.com/2020/10/truck-driver-arrested-over-death-of-yapei-kusawgu-npp-pc.html,"The driver of the Articulator truck whose “recklessness” caused the death of the New Patriotic Party (NPP) Parliamentary Candidate for Yapei-Kusawgu, Abu Kamara and two others has been arrested.The driver of the truck, Abass Mohammed with registration number AS 3459-13 is currently in the custody of the Police in Tamale assisting in investigations.Abass is alleged to have on reaching a section of the road at Datoyilli on the Tamale – Kintampo highway veered off his lane into the opposite direction and collided with the oncoming Toyota Highlander with registration number GE 180-17.The impact of the collision killed three of the four occupants in the Toyota Highlander on the spot.The deceased have been identified as Abu Kamara, the NPP Parliamentary Candidate for Yapei – Kosawgu Constituency, Kotochi Joshua, and Awal Adam.The fourth person Fuseini Kotochi is currently responding to treatment at the Tamale Teaching Hospital(TTH).Meanwhile, the mortal remains of the deceased have been released to their family members for the necessary funeral arrangements.Call our Editor on 0209391902 or click here and inform us via Whatsapp. You could equally email your stories or articles to [email protected] and we'll surely put them online",Truck Driver Arrested Over Death Of Yapei-Kusawgu NPP PC,"Nana Yaw, Reporter",2020/10
